Program,Failures,TimeTakenSeconds
bitcount,0,11.536273
breadth_first_search,0,8.095694
bucketsort,0,8.300029
depth_first_search,0,9.135612
detect_cycle,0,16.972932
find_first_in_sorted,0,8.129862
find_in_sorted,0,9.288519
flatten,0,10.531217
gcd,0,9.732092
get_factors,0,12.875088
hanoi,0,8.723864
is_valid_parenthesization,0,10.840768
kheapsort,0,8.325466
kth,0,8.901849
lcs_length,0,8.396825
levenshtein,0,9.822777
lis,0,12.445656
longest_common_subsequence,0,9.262086
max_sublist_sum,1,17.419396
mergesort,0,8.094324
minimum_spanning_tree,0,24.09882
next_palindrome,7,99.298975
next_permutation,0,8.395218
pascal,0,13.368541
possible_change,0,7.526627
powerset,0,7.474385
quicksort,0,7.692811
reverse_linked_list,0,10.288412
rpn_eval,0,8.887516
shortest_paths,0,8.496715
shortest_path_length,0,10.249704
shortest_path_lengths,0,15.572552
shunting_yard,0,9.506368
sieve,0,9.244037
sqrt,0,7.95758
subsequences,0,8.785693
topological_ordering,2,32.011812
to_base,0,8.431677
wrap,0,9.221016
